plot,crop,farm,region,island,surface_ha
P1,PN_PIQ,E1,3,2,3.68
P2,MA_ROTA,E1,3,2,3.3
P3,MA_ROTA,E1,3,2,1.36
P4,MA_ROTA,E2,2,2,1.24
P5,PN_PIQ,E3,2,2,0.77
P6,PN_PIQ,E3,2,2,0.21
P7,PN_PIQ,E3,2,2,0.57
P8,PN_PIQ,E3,2,2,1.52
P10,MA_ROTA,E4,2,2,0.86
P11,MA_ROTA,E4,2,2,0.6
P12,PN_PIQ,E5,3,2,0.6
P14,MA_ROTA,E5,3,2,1.46
P16,MA_ROTA,E5,3,2,1.46
P17,MA_ROTA,E5,3,2,2.12
P18,PN_PIQ,E5,3,2,0.45
P19,MA_ROTA,E6,1,2,0.76
P20,MA_ROTA,E6,1,2,0.48
P22,MA_ROTA,E6,1,2,0.43
P23,MA_ROTA,E6,1,2,3.59
P24,MA_ROTA,E6,1,2,2.15
P25,PN_PIQ,E6,1,2,0.84
P26,MA_ROTA,E6,1,2,0.9
P27,PN_PIQ,E7,3,2,1.96
P28,MA_ROTA,E7,3,2,1.3
P29,MA_ROTA,E7,3,2,0.44
P30,PN_PIQ,E7,3,2,0.64
P31,PN_PIQ,E7,3,2,0.85
P32,PN_PIQ,E7,3,2,0.49
P33,MA_ROTA,E7,3,2,0.67
P34,PN_PIQ,E7,3,2,0.52
P37,MA_ROTA,E7,3,2,0.24
P38,MA_ROTA,E7,3,2,1.17
P39,MA_ROTA,E7,3,2,3.2
P41,MA_ROTA,E7,3,2,3.61
P42,PN_PIQ,E7,3,2,1.32
P43,PN_PIQ,E7,3,2,0.46
P44,PN_PIQ,E7,3,2,1.01
P47,PN_PIQ,E8,2,2,1.59
P48,MA_ROTA,E9,1,2,4.34
P49,PN_PIQ,E9,1,2,0.86
P50,PN_PIQ,E9,1,2,3.43
P51,MA_ROTA,E9,1,2,1.47
P52,PN_PIQ,E9,1,2,4.36
P53,MA_ROTA,E9,1,2,3.29
P54,MA_ROTA,E10,3,2,0.47
P56,PN_PIQ,E10,3,2,0.05
P57,MA_ROTA,E10,3,2,1.43
P58,MA_ROTA,E10,3,2,0.7
P59,ME,E10,3,2,0.18
P60,PN_PIQ,E10,3,2,4.19
P61,PN_PIQ,E10,3,2,0.54
P62,PN_PIQ,E10,3,2,0.04
P63,PN_PIQ,E10,3,2,0.46
P64,MA_ROTA,E10,3,2,0.68
P65,PN_PIQ,E10,3,2,0.96
P66,MA_ROTA,E11,3,2,2.02
P67,MA_ROTA,E11,3,2,0.3
P68,MA_ROTA,E11,3,2,1.25
P69,PN_PIQ,E11,3,2,4.17
P70,PN_PIQ,E11,3,2,0.28
P71,MA_ROTA,E11,3,2,0.39
P72,MA_ROTA,E11,3,2,3.07
P74,MA_ROTA,E12,3,2,1.79
P75,MA_ROTA,E12,3,2,0.9
P77,MA_ROTA,E12,3,2,1.1
P78,PN_PIQ,E13,3,2,1.3
P79,MA_ROTA,E13,3,2,0.98
P80,MA_ROTA,E13,3,2,1.97
P81,MA_ROTA,E13,3,2,2.62
P84,MA_ROTA,E13,3,2,1.52
P86,PN_PIQ,E14,7,3,0.19
P87,PN_PIQ,E14,7,3,0.28
P88,PN_PIQ,E14,7,3,0.27
P89,PN_PIQ,E14,7,3,0.7
P90,PN_PIQ,E15,7,3,0.45
P91,PN_PIQ,E15,7,3,0.43
P92,PN_PIQ,E15,7,3,1.48
P93,PN_PIQ,E15,7,3,0.16
P94,PN_PIQ,E15,7,3,0.49
P95,MA_ROTA,E16,1,2,2.78
P96,PN_PIQ,E16,1,2,0.45
P97,MA_ROTA,E16,1,2,0.44
P98,MA_ROTA,E16,1,2,0.78
P99,MA_ROTA,E16,1,2,1.69
P100,PN_PIQ,E16,1,2,0.87
P101,MA_ROTA,E16,1,2,0.19
P103,PN_PIQ,E17,2,2,1.04
P105,PN_PIQ,E18,7,3,0.65
P106,PN_PIQ,E18,7,3,1.46
P107,ME,E19,3,2,1.35
P108,MA_ROTA,E19,3,2,1.81
P109,PN_PIQ,E19,3,2,1.77
P110,PN_PIQ,E19,3,2,1.35
P111,MA_ROTA,E19,3,2,0.61
P112,MA_ROTA,E19,3,2,0.5
P113,MA_ROTA,E19,3,2,0.21
P114,PN_PIQ,E20,7,3,3.31
P115,PN_PIQ,E20,7,3,1.29
P116,PN_PIQ,E20,7,3,0.96
P117,PN_PIQ,E20,7,3,0.42
P118,PN_PIQ,E20,7,3,2.3
P119,PN_PIQ,E20,7,3,2.4
P120,PN_PIQ,E20,7,3,0.92
P121,PN_PIQ,E21,7,3,2.36
P122,PN_PIQ,E21,7,3,0.87
P123,PN_PIQ,E21,7,3,0.15
P124,PN_PIQ,E21,7,3,0.18
P125,PN_PIQ,E21,7,3,0.49
P126,PN_PIQ,E21,7,3,0.41
P127,PN_PIQ,E21,7,3,0.06
P128,PN_PIQ,E21,7,3,0.09
P129,PN_PIQ,E21,7,3,2.48
P130,PN_PIQ,E21,7,3,1.26
P131,PN_PIQ,E21,7,3,1.02
P132,PN_PIQ,E21,7,3,0.15
P133,PN_PIQ,E21,7,3,0.27
P134,PN_PIQ,E21,7,3,0.35
P135,MA_ROTA,E22,2,2,0.08
P136,MA_ROTA,E22,2,2,0.8
P137,MA_ROTA,E22,2,2,0.42
P138,MA_ROTA,E22,2,2,0.1
P139,PN_PIQ,E23,1,2,0.59
P140,MA_ROTA,E23,1,2,0.31
P141,PN_PIQ,E23,1,2,0.72
P142,PN_PIQ,E24,7,3,0.64
P143,PN_PIQ,E24,7,3,0.13
P144,PN_PIQ,E24,7,3,0.11
P145,PN_PIQ,E24,7,3,1.14
P146,PN_PIQ,E24,7,3,0.35
P147,PN_PIQ,E25,2,2,0.41
P148,PN_PIQ,E25,2,2,0.99
P149,ME,E25,2,2,0.47
P150,PN_PIQ,E25,2,2,0.24
P151,PN_PIQ,E25,2,2,0.2
P152,PN_PIQ,E25,2,2,0.42
P153,PN_PIQ,E25,2,2,0.45
P154,PN_PIQ,E25,2,2,0.25
P155,PN_PIQ,E25,2,2,0.21
P156,PN_PIQ,E26,1,2,0.9
P157,PN_PIQ,E27,7,3,0.34
P158,PN_PIQ,E27,7,3,0.5
P159,PN_PIQ,E27,7,3,0.21
P160,PN_PIQ,E27,7,3,3.18
P162,MA_ROTA,E28,2,2,0.78
P165,PN_PIQ,E28,2,2,0.45
P166,PN_PIQ,E28,2,2,0.32
P167,PN_PIQ,E29,7,3,0.45
P168,PN_PIQ,E29,7,3,1.46
P169,PN_PIQ,E29,7,3,0.33
P170,PN_PIQ,E30,7,3,0.32
P171,PN_PIQ,E30,7,3,0.67
P172,PN_PIQ,E30,7,3,0.4
P173,PN_PIQ,E30,7,3,0.17
P174,PN_PIQ,E30,7,3,0.61
P175,PN_PIQ,E30,7,3,3.13
P176,PN_PIQ,E30,7,3,0.24
P177,PN_PIQ,E30,7,3,0.29
P178,PN_PIQ,E30,7,3,1.95
P179,PN_PIQ,E30,7,3,0.49
P180,PN_PIQ,E30,7,3,2.1
P181,PN_PIQ,E30,7,3,0.43
P182,PN_PIQ,E30,7,3,0.46
P183,PN_PIQ,E31,7,3,0.27
P184,PN_PIQ,E31,7,3,0.2
P185,MA_ROTA,E32,2,2,0.8
P186,MA_ROTA,E32,2,2,0.5
P187,PN_PIQ,E33,7,3,0.29
P188,PN_PIQ,E33,7,3,0.59
P189,PN_PIQ,E33,7,3,0.8
P190,PN_PIQ,E33,7,3,1.31
P191,PN_PIQ,E33,7,3,0.5
P192,PN_PIQ,E33,7,3,0.82
P193,PN_PIQ,E33,7,3,1.49
P194,PN_PIQ,E33,7,3,1.1
P195,PN_PIQ,E33,7,3,1.25
P196,PN_PIQ,E33,7,3,4.23
P197,PN_PIQ,E33,7,3,1.0
P198,PN_PIQ,E33,7,3,0.61
P199,PN_PIQ,E33,7,3,3.68
P200,PN_PIQ,E33,7,3,0.94
P201,PN_PIQ,E33,7,3,1.27
P202,PN_PIQ,E33,7,3,3.18
P203,PN_PIQ,E34,7,3,0.44
P204,PN_PIQ,E34,7,3,0.34
P205,PN_PIQ,E34,7,3,0.57
P206,PN_PIQ,E34,7,3,0.64
P207,MA_ROTA,E35,2,2,0.5
P208,PN_PIQ,E36,2,2,0.23
P209,MA_ROTA,E36,2,2,0.51
P210,MA_ROTA,E36,2,2,0.51
P211,MA_ROTA,E36,2,2,0.63
P212,PN_PIQ,E36,2,2,0.31
P213,PN_PIQ,E36,2,2,0.28
P214,PN_PIQ,E36,2,2,0.15
P215,MA_ROTA,E36,2,2,0.61
P216,PN_PIQ,E36,2,2,0.54
P217,MA_ROTA,E36,2,2,0.34
P218,MA_ROTA,E36,2,2,0.31
P219,MA_ROTA,E36,2,2,0.73
P220,PN_PIQ,E36,2,2,0.53
