plot,crop,farm,region,island,surface_ha
P1,AN_PA,E1,3,2,3.68
P2,PN_PIQ,E1,3,2,3.3
P3,PN_PIQ,E1,3,2,1.36
P4,PN_PIQ,E2,2,2,1.24
P5,PN_PIQ,E3,2,2,0.77
P6,AN_PA,E3,2,2,0.21
P7,AN_PA,E3,2,2,0.57
P8,AN_PA,E3,2,2,1.52
P10,PN_PIQ,E4,2,2,0.86
P11,AN_PA,E4,2,2,0.6
P12,AN_PA,E5,3,2,0.6
P14,PN_PIQ,E5,3,2,1.46
P16,AN_PA,E5,3,2,1.46
P17,AN_PA,E5,3,2,2.12
P18,PN_PIQ,E5,3,2,0.45
P19,AN_PA,E6,1,2,0.76
P20,AN_PA,E6,1,2,0.48
P22,AN_PA,E6,1,2,0.43
P23,PN_PIQ,E6,1,2,3.59
P24,PN_PIQ,E6,1,2,2.15
P25,AN_PA,E6,1,2,0.84
P26,PN_PIQ,E6,1,2,0.9
P27,MA_ROTA,E7,3,2,1.96
P28,AN_PA,E7,3,2,1.3
P29,ME,E7,3,2,0.44
P30,PN_PIQ,E7,3,2,0.64
P31,AN_PA,E7,3,2,0.85
P32,AN_PA,E7,3,2,0.49
P33,AN_PA,E7,3,2,0.67
P34,PN_PIQ,E7,3,2,0.52
P37,AN_PA,E7,3,2,0.24
P38,AN_PA,E7,3,2,1.17
P39,ME,E7,3,2,3.2
P41,MA_ROTA,E7,3,2,3.61
P42,PN_PIQ,E7,3,2,1.32
P43,AN_PA,E7,3,2,0.46
P44,AN_PA,E7,3,2,1.01
P47,PN_PIQ,E8,2,2,1.59
P48,PN_PIQ,E9,1,2,4.34
P49,AN_PA,E9,1,2,0.86
P50,MA_ROTA,E9,1,2,3.43
P51,AN_PA,E9,1,2,1.47
P52,AN_PA,E9,1,2,4.36
P53,PN_PIQ,E9,1,2,3.29
P54,AN_PA,E10,3,2,0.47
P56,AN_PA,E10,3,2,0.05
P57,PN_PIQ,E10,3,2,1.43
P58,AN_PA,E10,3,2,0.7
P59,PN_PIQ,E10,3,2,0.18
P60,PN_PIQ,E10,3,2,4.19
P61,PN_PIQ,E10,3,2,0.54
P62,AN_PA,E10,3,2,0.04
P63,PN_PIQ,E10,3,2,0.46
P64,AN_PA,E10,3,2,0.68
P65,PN_PIQ,E10,3,2,0.96
P66,PN_PIQ,E11,3,2,2.02
P67,PN_PIQ,E11,3,2,0.3
P68,AN_PA,E11,3,2,1.25
P69,AN_PA,E11,3,2,4.17
P70,AN_PA,E11,3,2,0.28
P71,AN_PA,E11,3,2,0.39
P72,PN_PIQ,E11,3,2,3.07
P74,PN_PIQ,E12,3,2,1.79
P75,PN_PIQ,E12,3,2,0.9
P77,AN_PA,E12,3,2,1.1
P78,AN_PA,E13,3,2,1.3
P79,AN_PA,E13,3,2,0.98
P80,AN_PA,E13,3,2,1.97
P81,PN_PIQ,E13,3,2,2.62
P84,MA_ROTA,E13,3,2,1.52
P86,PN_PIQ,E14,7,3,0.19
P87,AN_PA,E14,7,3,0.28
P88,AN_PA,E14,7,3,0.27
P89,PN_PIQ,E14,7,3,0.7
P90,PN_PIQ,E15,7,3,0.45
P91,AN_PA,E15,7,3,0.43
P92,PN_PIQ,E15,7,3,1.48
P93,PN_PIQ,E15,7,3,0.16
P94,PN_PIQ,E15,7,3,0.49
P95,AN_PA,E16,1,2,2.78
P96,PN_PIQ,E16,1,2,0.45
P97,AN_PA,E16,1,2,0.44
P98,PN_PIQ,E16,1,2,0.78
P99,AN_PA,E16,1,2,1.69
P100,PN_PIQ,E16,1,2,0.87
P101,AN_PA,E16,1,2,0.19
P103,AN_PA,E17,2,2,1.04
P105,PN_PIQ,E18,7,3,0.65
P106,PN_PIQ,E18,7,3,1.46
P107,AN_PA,E19,3,2,1.35
P108,AN_PA,E19,3,2,1.81
P109,AN_PA,E19,3,2,1.77
P110,PN_PIQ,E19,3,2,1.35
P111,AN_PA,E19,3,2,0.61
P112,PN_PIQ,E19,3,2,0.5
P113,PN_PIQ,E19,3,2,0.21
P114,PN_PIQ,E20,7,3,3.31
P115,PN_PIQ,E20,7,3,1.29
P116,PN_PIQ,E20,7,3,0.96
P117,AN_PA,E20,7,3,0.42
P118,PN_PIQ,E20,7,3,2.3
P119,AN_PA,E20,7,3,2.4
P120,AN_PA,E20,7,3,0.92
P121,AN_PA,E21,7,3,2.36
P122,PN_PIQ,E21,7,3,0.87
P123,AN_PA,E21,7,3,0.15
P124,PN_PIQ,E21,7,3,0.18
P125,AN_PA,E21,7,3,0.49
P126,AN_PA,E21,7,3,0.41
P127,AN_PA,E21,7,3,0.06
P128,PN_PIQ,E21,7,3,0.09
P129,PN_PIQ,E21,7,3,2.48
P130,AN_PA,E21,7,3,1.26
P131,AN_PA,E21,7,3,1.02
P132,AN_PA,E21,7,3,0.15
P133,AN_PA,E21,7,3,0.27
P134,AN_PA,E21,7,3,0.35
P135,AN_PA,E22,2,2,0.08
P136,AN_PA,E22,2,2,0.8
P137,PN_PIQ,E22,2,2,0.42
P138,PN_PIQ,E22,2,2,0.1
P139,AN_PA,E23,1,2,0.59
P140,AN_PA,E23,1,2,0.31
P141,PN_PIQ,E23,1,2,0.72
P142,PN_PIQ,E24,7,3,0.64
P143,PN_PIQ,E24,7,3,0.13
