crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp
MA_BAG_FER_NI,1,2,2.42,87.12,95832.0,0.0,95832.0,50397.109598,2729.7599999999998,42311.28,1.6986683260734288
MA_BAG_FER_NI,4,1,5.87,211.32,232452.0,0.0,232452.0,122244.228653,6621.360000000001,102631.08,4.120323584318607
MA_BAG_FER_NI,6,1,18.93,681.4799999999999,749628.0,0.0,749628.0,394222.018467,21353.04,330972.12,13.287517112632234
MA_BAG_NON_NI,6,1,0.93,33.480000000000004,36828.0,0.0,36828.0,19367.484267,1049.04,16260.119999999999,0.6527940261356565
MA_BRF_BIO_NI,1,2,0.3,10.799999999999999,11880.0,0.0,11880.0,6247.57557,338.4,5245.2,0.21057871810827627
MA_BRF_BIO_NI,4,1,25.23,908.28,999108.0,0.0,999108.0,525421.1054369999,28459.44,441121.32,17.709670192906035
MA_BRF_VEG_NI,1,2,10.11,363.96,400356.0,0.0,400356.0,210543.296709,11404.08,176763.24,7.096502800248911
MA_BRF_VEG_NI,4,1,127.48,4589.28,5048208.0,0.0,5048208.0,2654803.112212,143797.44,2228860.32,89.4819166148102
MA_PAI_NON_NI,1,2,201.59,7257.24,7982964.0,0.0,7982964.0,4198162.530521,227393.52,3524599.56,141.50187927815807
MA_PAI_NON_NI,2,2,552.0,19872.0,21859200.0,0.0,21859200.0,11495539.048799999,622656.0,9651168.0,387.46484131922836
MA_PAI_NON_NI,3,2,665.72,23965.92,26362512.0,0.0,26362512.0,13863786.694868,750932.16,11639448.48,467.2882140634723
MA_PAI_NON_NI,4,1,3185.66,114683.76,126152136.0,0.0,126152136.0,66342171.967754,3593424.48,55698079.44,2236.1073304293714
MA_PAI_NON_NI,5,1,460.72,16585.92,18244512.0,0.0,18244512.0,9594610.055368,519692.16,8055228.48,323.3927566894835
MA_PAI_NON_NI,6,1,431.0,15516.0,17067600.0,0.0,17067600.0,8975683.5689,486168.0,7535604.0,302.5314250155569
MA_PAI_NON_NI,7,3,3640.2,131047.2,144151920.0,0.0,144151920.0,75808081.96638,4106145.6,63645256.8,2555.1621655258245
MA_ROTA,1,2,1278.25,69025.5,72476775.0,0.0,72476775.0,35699900.272925,2112947.25,32750682.375,1314.8396079651525
MA_ROTA,2,2,3831.45,206898.3,217243215.0,0.0,217243215.0,107007536.00680499,6333386.85,98167496.175,3941.124362165526
MA_ROTA,3,2,5680.48,306745.92,322083216.0,0.0,322083216.0,158648597.30283198,9389833.44,145542418.32,5843.082414436839
MA_ROTA,4,1,1172.55,63317.7,66483585.0,0.0,66483585.0,32747833.416794993,1938225.15,30042489.825,1206.1139701306784
MA_ROTA,5,1,1710.45,92364.3,96982515.0,0.0,96982515.0,47770697.76790499,2827373.85,43824294.675,1759.4112321095208
MA_TO_CO_JA,1,2,39.78,1432.08,1575288.0,0.0,1575288.0,828428.5205819999,44871.84,695513.52,27.922738021157436
MA_TO_CO_JA,2,2,68.06,2450.16,2695176.0,0.0,2695176.0,1417366.644314,76771.68000000001,1189961.04,47.773291848164284
MA_TO_CO_JA,4,1,40.86,1470.96,1618056.0,0.0,1618056.0,850919.792634,46090.08,714396.24,28.68082140634723
MA_TO_CO_JA,5,1,243.02,8748.72,9623592.0,0.0,9623592.0,5060952.716738,274126.56,4248961.68,170.582800248911
MA_TO_CO_JA,6,1,184.19,6630.84,7293924.0,0.0,7293924.0,3835803.147461,207766.32,3220377.96,129.28831362787804
MA_TO_CO_JA,7,3,29.389999999999997,1058.04,1163844.0,0.0,1163844.0,612054.153341,33151.92,513854.75999999995,20.629695084007466
TH,5,1,132.71,2388.78,7166340.0,0.0,7166340.0,2972868.82582,216184.59,3350861.145,134.5268139390168
TH,6,1,415.74,7483.32,22449960.0,0.0,22449960.0,9313092.34908,677240.46,10497227.13,421.4315245799627
